S0,S1,S2,S3,Y
234145,123299,327660,31673,1
234176,123314,327660,31678,1
234127,123306,327660,31677,1
234162,123298,327660,31674,1
234174,123314,327660,31688,1
234176,123306,327660,31683,1
234191,123313,327660,31692,1
234192,123310,327660,31680,1
234171,123281,327660,31687,1
234037,123253,327660,31658,1
234238,123339,327660,31699,1
234152,123294,327660,31674,1
234202,123332,327660,31687,1
234146,123306,327660,31681,1
234174,123311,327660,31682,1
234174,123317,327660,31694,1
234163,123303,327660,31686,1
234170,123300,327660,31688,1
234159,123303,327660,31681,1
234114,123263,327660,31664,1
234162,123286,327660,31683,1
234255,123339,327660,31696,1
234248,123327,327660,31697,1
234188,123320,327660,31686,1
234164,123305,327660,31687,1
234149,123291,327660,31690,1
234145,123294,327660,31677,1
234205,123329,327660,31698,1
234194,123336,327660,31689,1
234165,123326,327660,31685,1
234205,123333,327660,31691,1
234068,123272,327660,31664,1
234184,123324,327660,31680,1
234212,123333,327660,31691,1
234124,123288,327660,31676,1
234301,123357,327660,31708,1
234262,123353,327660,31689,1
233981,123223,327660,31655,1
234226,123332,327660,31681,1
234215,123324,327660,31698,1
234154,123298,327660,31687,1
234203,123332,327660,31701,1
234164,123315,327660,31680,1
234154,123301,327660,31692,1
234212,123316,327660,31701,1
234033,123256,327660,31664,1
234276,123349,327660,31694,1
234168,123312,327660,31701,1
234324,123384,327660,31711,1
234063,123257,327660,31675,1
234471,123429,327660,31730,1
234179,123299,327660,31695,1
234168,123295,327660,31693,1
234215,123322,327660,31686,1
234205,123313,327660,31682,1
234287,123345,327660,31689,1
234317,123351,327660,31700,1
234196,123305,327660,31684,1
234306,123357,327660,31697,1
234233,123333,327660,31692,1
234286,123349,327660,31684,1
234205,123316,327660,31690,1
234275,123340,327660,31702,1
234189,123309,327660,31711,1
234292,123353,327660,31707,1
234262,123345,327660,31701,1
234218,123302,327660,31683,1
234234,123323,327660,31687,1
234209,123309,327660,31699,1
234504,123435,327660,31733,1
234140,123289,327660,31683,1
234335,123377,327660,31702,1
234352,123381,327660,31698,1
234168,123305,327660,31669,1
234239,123335,327660,31681,1
234234,123339,327660,31694,1
234194,123317,327660,31673,1
234243,123331,327660,31694,1
234203,123336,327660,31701,1
234238,123334,327660,31682,1
234221,123323,327660,31691,1
234247,123342,327660,31697,1
234245,123330,327660,31690,1
234218,123332,327660,31693,1
234234,123341,327660,31697,1
234246,123350,327660,31683,1
234240,123337,327660,31695,1
234226,123329,327660,31692,1
234221,123341,327660,31694,1
234238,123327,327660,31708,1
234236,123326,327660,31691,1
234268,123342,327660,31706,1
234240,123337,327660,31696,1
234267,123340,327660,31698,1
234231,123330,327660,31690,1
234205,123313,327660,31681,1
234262,123341,327660,31702,1
234250,123330,327660,31710,1
234246,123349,327660,31703,1
234278,123349,327660,31697,1
234289,123358,327660,31698,1
234267,123352,327660,31710,1
234267,123344,327660,31714,1
234237,123338,327660,31692,1
234244,123335,327660,31704,1
234280,123354,327660,31708,1
234337,123374,327660,31701,1
234203,123318,327660,31687,1
234267,123336,327660,31702,1
233812,123151,327660,31643,1
234272,123343,327660,31698,1
234364,123381,327660,31713,1
234198,123297,327660,31693,1
234268,123335,327660,31708,1
234282,123346,327660,31698,1
234392,123401,327660,31716,1
234227,123328,327660,31689,1
234264,123333,327660,31701,1
234339,123352,327660,31714,1
234283,123352,327660,31709,1
234260,123339,327660,31700,1
234276,123351,327660,31716,1
234280,123346,327660,31705,1
234257,123349,327660,31689,1
234288,123361,327660,31701,1
234306,123359,327660,31690,1
234222,123318,327660,31699,1
234311,123361,327660,31706,1
234317,123360,327660,31704,1
234262,123333,327660,31690,1
234225,123301,327660,31679,1
234322,123373,327660,31691,1
234293,123355,327660,31687,1
234287,123364,327660,31702,1
234166,123299,327660,31686,1
234256,123344,327660,31715,1
234391,123385,327660,31701,1
234269,123354,327660,31688,1
234233,123323,327660,31685,1
234352,123364,327660,31703,1
234298,123349,327660,31693,1
234214,123308,327660,31690,1
234298,123357,327660,31705,1
234312,123366,327660,31692,1
234277,123347,327660,31690,1
234229,123336,327660,31698,1
234292,123360,327660,31698,1
234369,123388,327660,31710,1
234323,123352,327660,31705,1
234216,123079,327660,31585,1
233366,123059,327660,31568,1
233261,123059,327660,31590,1
233318,123063,327660,31575,1
233349,123042,327660,31579,1
233315,123064,327660,31584,1
233352,123029,327660,31584,1
233272,122995,327660,31566,1
233231,123001,327660,31584,1
233257,123019,327660,31574,1
233289,122993,327660,31560,1
233259,122990,327660,31556,1
233269,123023,327660,31582,1
233327,122980,327660,31564,1
233250,122986,327660,31567,1
233269,122840,327660,31539,1
233055,122929,327660,31570,1
233270,122954,327660,31567,1
233323,122971,327660,31576,1
233376,122981,327660,31580,1
233392,122992,327660,31577,1
233453,122943,327660,31560,1
233329,122962,327660,31585,1
233384,122957,327660,31570,1
233358,122936,327660,31581,1
233314,122967,327660,31580,1
233401,122967,327660,31585,1
233402,122950,327660,31578,1
233376,122942,327660,31586,1
233369,122977,327660,31574,1
233439,122924,327660,31584,1
233350,122940,327660,31589,1
233379,122943,327660,31577,1
233384,122907,327660,31562,1
233277,122869,327660,31568,1
233225,122903,327660,31570,1
233333,122911,327660,31572,1
233331,122909,327660,31582,1
233368,122949,327660,31589,1
233440,122935,327660,31577,1
233311,122870,327660,31546,1
233152,122896,327660,31562,1
233240,122904,327660,31560,1
233234,122900,327660,31571,1
233232,122896,327660,31570,1
233244,122886,327660,31571,1
233228,122898,327660,31575,1
233241,122901,327660,31565,1
233217,122896,327660,31556,1
233234,122886,327660,31552,1
233223,122892,327660,31552,1
233220,122883,327660,31572,1
233215,122876,327660,31581,1
233206,122888,327660,31559,1
233209,122877,327660,31567,1
233210,122870,327660,31567,1
233215,122876,327660,31559,1
233214,122864,327660,31541,1
233228,122885,327660,31565,1
233218,122880,327660,31545,1
233227,122880,327660,31569,1
233205,122871,327660,31544,1
233226,122885,327660,31551,1
233205,122895,327660,31550,1
233245,122866,327660,31550,1
233213,122875,327660,31564,1
233213,122873,327660,31556,1
233219,122883,327660,31556,1
233226,122879,327660,31555,1
233214,122891,327660,31554,1
233254,122878,327660,31554,1
233215,122865,327660,31559,1
233227,122860,327660,31542,1
233213,122882,327660,31567,1
233223,122871,327660,31556,1
233206,122893,327660,31564,1
233243,122898,327660,31572,1
233283,122871,327660,31540,1
233212,122864,327660,31555,1
233184,122896,327660,31556,1
233253,122869,327660,31554,1
233195,122861,327660,31564,1
233216,122855,327660,31560,1
233200,122867,327660,31562,1
233227,122861,327660,31554,1
233211,122867,327660,31560,1
233241,122876,327660,31567,1
233224,122869,327660,31558,1
233221,122867,327660,31564,1
233223,122879,327660,31549,1
233228,122881,327660,31558,1
233227,122870,327660,31558,1
233207,122863,327660,31570,1
233217,122880,327660,31548,1
233239,122863,327660,31554,1
233203,122864,327660,31547,1
233236,122878,327660,31560,1
233234,122876,327660,31565,1
233223,122859,327660,31567,1
233225,122873,327660,31558,1
233236,122853,327660,31551,1
233224,122863,327660,31552,1
233233,122857,327660,31565,1
233220,122867,327660,31548,1
233226,122862,327660,31559,1
233240,122926,327660,31584,1
233343,122841,327660,31533,1
233157,122873,327660,31563,1
233225,122868,327660,31556,1
233244,122874,327660,31561,1
233227,122868,327660,31562,1
233244,122827,327660,31549,1
233128,122920,327660,31570,1
233319,122867,327660,31555,1
233225,122852,327660,31553,1
233187,122877,327660,31553,1
233232,122877,327660,31562,1
233262,122854,327660,31552,1
233215,122865,327660,31561,1
233227,122882,327660,31550,1
233254,122843,327660,31569,1
233206,122871,327660,31554,1
233248,122869,327660,31561,1
233202,122879,327660,31562,1
233247,122869,327660,31550,1
233223,122856,327660,31553,1
233249,122875,327660,31565,1
233226,122880,327660,31551,1
233234,122868,327660,31570,1
233232,122875,327660,31567,1
233227,122863,327660,31567,1
233229,122875,327660,31574,1
